,Host Response Rate,Host Acceptance Rate,Host Listings Count,Bathrooms,Bedrooms,Beds,Price,Number of Reviews,Geolocation
967,100.0,91%,52,1.0,0.0,1.0,150.0,6,"42.35030730652297, -71.08285057824554"
968,100.0,100%,1,1.0,1.0,1.0,163.0,31,"42.34841552928702, -71.08534241726764"
969,100.0,80%,2,1.0,1.0,1.0,175.0,41,"42.35081828863069, -71.08802691716497"
970,100.0,100%,1,1.0,1.0,1.0,200.0,4,"42.34782624281228, -71.08707702664312"
972,100.0,100%,1,1.0,1.0,1.0,109.0,23,"42.34382635912443, -71.08260980130042"
973,80.0,100%,1,1.0,0.0,1.0,200.0,11,"42.35502415844883, -71.0752342569542"
974,100.0,94%,9,1.0,1.0,1.0,48.0,4,"42.38850904288979, -71.00363142805281"
975,100.0,92%,1,1.0,1.0,2.0,128.0,3,"42.38137917833585, -71.03952569661864"
976,100.0,100%,1,1.0,1.0,2.0,89.0,320,"42.36688488307615, -71.03615062952922"
977,100.0,98%,2,1.0,1.0,2.0,120.0,174,"42.374169231104524, -71.03424002515276"
978,80.0,67%,2,1.0,1.0,1.0,160.0,21,"42.37853324504035, -71.06176887037248"
979,90.0,60%,2,3.0,3.0,4.0,600.0,4,"42.37643879614784, -71.06339455004817"
980,100.0,100%,3,3.0,4.0,5.0,500.0,112,"42.37191325559271, -71.06333019925495"
981,100.0,91%,2,1.0,2.0,2.0,199.0,166,"42.3775788524057, -71.0637641154371"
982,83.0,40%,1,1.0,1.0,1.0,92.0,0,"42.37396960969593, -71.05828504416404"
984,97.0,95%,4,1.0,0.0,1.0,133.0,20,"42.35890339819018, -71.07009064770922"
985,99.0,81%,30,1.0,0.0,1.0,255.0,9,"42.359150946545846, -71.06681643718575"
986,100.0,29%,1,1.0,1.0,1.0,113.0,17,"42.361051236269944, -71.06678529935463"
987,100.0,100%,1,1.0,1.0,1.0,175.0,62,"42.358925843884826, -71.06310908854002"
988,100.0,93%,12,1.0,1.0,1.0,200.0,9,"42.35898848993431, -71.06324696239577"
989,100.0,89%,2,1.0,1.0,1.0,100.0,41,"42.36020415031003, -71.06839983708964"
990,100.0,100%,2,1.0,2.0,2.0,324.0,29,"42.3601462021614, -71.06866122534215"
991,100.0,91%,52,1.0,0.0,1.0,145.0,2,"42.35934474352358, -71.06291668127326"
993,100.0,91%,52,1.0,0.0,1.0,150.0,2,"42.36099231631034, -71.06444345632248"
994,100.0,58%,1,1.0,0.0,1.0,140.0,5,"42.359464663231066, -71.07106480346663"
995,100.0,99%,15,1.5,2.0,2.0,375.0,62,"42.361107026787955, -71.0702926780151"
996,100.0,100%,1,1.0,1.0,1.0,120.0,28,"42.360776062831896, -71.06445563747977"
997,100.0,92%,2,2.0,1.0,1.0,202.0,14,"42.360351430952186, -71.067273442638"
998,100.0,88%,2,1.0,1.0,1.0,115.0,91,"42.35933060974251, -71.06592570273932"
999,100.0,100%,1,1.0,1.0,1.0,250.0,58,"42.35030998335048, -71.06534209046265"
1000,100.0,94%,11,1.0,0.0,2.0,158.0,10,"42.350563870332486, -71.06565364219792"
1001,97.0,100%,4,1.0,0.0,1.0,220.0,81,"42.35524342177149, -71.0612055232988"
1004,89.0,45%,558,1.0,1.0,1.0,269.0,5,"42.352103068868786, -71.06318368946836"
1005,100.0,100%,1,2.0,2.0,4.0,375.0,9,"42.35049371153128, -71.06986261163799"
1006,100.0,100%,1,1.0,2.0,2.0,325.0,0,"42.35520778253591, -71.06278922064558"
1007,100.0,100%,6,1.0,1.0,1.0,300.0,1,"42.34599378269235, -71.08864693343483"
1008,100.0,100%,3,1.0,2.0,2.0,200.0,11,"42.34861778717707, -71.0922023606865"
1009,98.0,55%,749,1.0,1.0,1.0,189.0,0,"42.345114966570144, -71.10037999942827"
1010,70.0,73%,1,1.0,1.0,1.0,100.0,29,"42.34483908010575, -71.08935480178855"
1012,97.0,81%,21,1.0,1.0,1.0,239.0,4,"42.34689009807005, -71.1038083917513"
1013,100.0,100%,1,1.0,1.0,1.0,83.0,2,"42.34106024812434, -71.0983103836707"
1014,93.0,90%,1,1.0,1.0,1.0,149.0,36,"42.342010324596394, -71.0872655858924"
1015,89.0,45%,558,1.0,2.0,2.0,349.0,0,"42.34401101498641, -71.09881498886284"
1016,98.0,55%,749,1.0,1.0,1.0,169.0,0,"42.34297065784965, -71.09981162063914"
1017,98.0,55%,749,2.0,2.0,2.0,319.0,2,"42.345484415063545, -71.10207410221126"
1018,96.0,68%,313,2.0,2.0,3.0,279.0,15,"42.345171020632165, -71.10049715916622"
1019,100.0,100%,2,1.0,1.0,1.0,79.0,41,"42.344523732167985, -71.08683719659065"
1020,86.0,99%,5,1.0,1.0,1.0,180.0,1,"42.369265468665986, -71.072024224819"
1021,100.0,95%,14,1.0,1.0,1.0,65.0,0,"42.38788781183007, -71.08065371917631"
1022,100.0,100%,3,1.5,1.0,1.0,79.0,118,"42.29362567996863, -71.06652076227765"
1023,100.0,94%,22,1.0,1.0,1.0,36.0,0,"42.30399226116812, -71.07041841768483"
1024,90.0,92%,2,1.0,1.0,1.0,175.0,0,"42.3506804025452, -71.04727488396547"
1025,98.0,66%,22,1.0,1.0,1.0,189.0,6,"42.34321885892198, -71.05714120788332"
1027,100.0,100%,6,1.0,1.0,1.0,128.0,14,"42.32999627100473, -71.05431805538188"
1028,69.0,95%,2,2.0,2.0,2.0,232.0,3,"42.33408618943746, -71.03105301373355"
1030,92.0,97%,1,1.0,1.0,1.0,110.0,5,"42.35046189516946, -71.12950477968002"
1031,95.0,99%,6,2.0,1.0,1.0,65.0,36,"42.35339780167063, -71.14235466242799"
1032,100.0,63%,9,1.5,1.0,1.0,45.0,2,"42.35518988080188, -71.13798365643365"
1033,100.0,100%,2,1.0,1.0,1.0,84.0,133,"42.339020006398144, -71.1066409301378"
1034,100.0,100%,4,1.0,2.0,2.0,289.0,1,"42.34850865691721, -71.06929010159308"
1035,98.0,55%,749,1.0,1.0,1.0,219.0,0,"42.3512146620701, -71.05937481486708"
1036,90.0,84%,1,1.0,2.0,2.0,299.0,50,"42.35019448391424, -71.06205569268481"
1037,100.0,100%,3,1.0,1.0,2.0,140.0,16,"42.366090141169195, -71.0525546517861"
1039,100.0,100%,1,1.0,1.0,1.0,200.0,1,"42.36591852353609, -71.0531419142005"
1040,100.0,89%,5,1.0,2.0,2.0,180.0,42,"42.36381372618179, -71.05159627177609"
1041,97.0,84%,11,1.0,2.0,4.0,225.0,11,"42.364672801267034, -71.05575617983635"
1042,100.0,100%,1,2.5,1.0,1.0,90.0,2,"42.327252962929734, -71.07558887205052"
1043,93.0,57%,17,1.0,1.0,1.0,40.0,4,"42.31793468131503, -71.07922630786388"
1044,71.0,98%,363,1.0,1.0,2.0,189.0,20,"42.34576674071476, -71.06318918678608"
1045,71.0,98%,363,1.0,2.0,2.0,279.0,19,"42.345559883384496, -71.0633769500026"
1046,100.0,100%,2,1.0,1.0,1.0,125.0,10,"42.3443699748363, -71.06547543523293"
1047,100.0,94%,3,2.5,1.0,1.0,45.0,8,"42.2802789130541, -71.13586963457317"
1048,50.0,100%,2,2.0,1.0,1.0,73.0,19,"42.31530070763098, -71.09976783089705"
1049,100.0,100%,1,1.0,1.0,1.0,100.0,14,"42.29106052288582, -71.11593555432006"
1050,78.0,82%,6,1.0,1.0,1.0,57.0,1,"42.324236752033926, -71.10812404783636"
1051,80.0,90%,2,1.0,1.0,1.0,69.0,0,"42.30992055594116, -71.11072691758284"
1052,100.0,100%,4,1.0,1.0,1.0,75.0,150,"42.29572299757349, -71.11942117574478"
1053,80.0,70%,1,1.0,2.0,4.0,145.0,7,"42.30683414172092, -71.11331230827805"
1055,100.0,100%,1,1.0,2.0,1.0,170.0,9,"42.30637132044274, -71.11350717401692"
1056,100.0,100%,3,2.0,2.0,3.0,155.0,0,"42.31179031925349, -71.12132702991566"
1057,100.0,100%,1,1.0,2.0,3.0,160.0,0,"42.3179889417716, -71.10988164747111"
1058,100.0,95%,2,1.0,3.0,2.0,255.0,6,"42.309560492272524, -71.10342180495736"
1059,100.0,95%,2,1.0,1.0,1.0,91.0,179,"42.310008938431984, -71.10176364947394"
1060,73.0,100%,4,1.0,1.0,1.0,49.0,23,"42.312630016865675, -71.10439934389252"
1061,100.0,100%,3,1.0,1.0,1.0,110.0,8,"42.33317899447556, -71.10249896276378"
1064,100.0,100%,5,1.0,1.0,2.0,256.0,5,"42.34996452066192, -71.0843887624094"
1065,96.0,68%,313,1.0,1.0,2.0,298.0,6,"42.346196860971546, -71.07856621775574"
1067,94.0,69%,5,2.0,2.0,2.0,225.0,13,"42.364608041638235, -71.02902055720352"
1068,100.0,100%,1,2.0,3.0,4.0,210.0,27,"42.371116609738905, -71.03339768539294"
1069,100.0,100%,4,1.0,1.0,1.0,70.0,4,"42.37450565753319, -71.03220529229122"
1070,100.0,100%,2,3.0,4.0,4.0,250.0,32,"42.38953063489859, -71.00585742777379"
1071,90.0,100%,1,1.0,1.0,1.0,130.0,13,"42.3691365107799, -71.04094378362562"
1072,100.0,94%,2,1.0,1.0,1.0,45.0,8,"42.366904603169814, -71.03768084507143"
1074,100.0,100%,1,1.0,1.0,1.0,155.0,46,"42.377855421674845, -71.0627970924799"
1075,83.0,100%,2,3.0,3.0,4.0,680.0,4,"42.38195178691684, -71.06866985363283"
1076,98.0,66%,22,1.0,2.0,2.0,250.0,3,"42.37499915424139, -71.05777501469449"
1077,89.0,45%,558,2.0,2.0,2.0,310.0,2,"42.36623457702698, -71.06784618110888"
1078,98.0,55%,749,1.0,1.0,1.0,189.0,4,"42.36372540039418, -71.06815872074992"
1079,100.0,100%,1,1.0,1.0,1.0,299.0,3,"42.358480754877796, -71.06947903170361"
1080,100.0,94%,2,1.0,1.0,1.0,135.0,33,"42.36059821740399, -71.0680153062853"
1081,100.0,83%,3,1.0,1.0,1.0,250.0,1,"42.359108415266704, -71.06622663529957"
1082,90.0,100%,1,1.0,1.0,2.0,289.0,9,"42.36062562771717, -71.06945746836061"
1083,100.0,100%,1,1.0,1.0,2.0,225.0,83,"42.358584373302634, -71.06549388079779"
1084,100.0,67%,1,1.0,1.0,1.0,50.0,2,"42.34871296059264, -71.13803295228391"
1085,100.0,99%,3,1.0,1.0,1.0,59.0,64,"42.35179203125133, -71.12690081699625"
1086,78.0,50%,1,1.0,1.0,1.0,198.0,0,"42.37177133434889, -71.07129980962144"
1087,94.0,91%,3,2.0,4.0,4.0,225.0,21,"42.3133316554112, -71.06585709564061"
1088,100.0,82%,3,2.0,2.0,2.0,390.0,12,"42.35093487305158, -71.04836752696419"
1089,100.0,94%,4,2.0,3.0,7.0,199.0,28,"42.33898338782244, -71.0373994722214"
1090,100.0,100%,1,1.0,1.0,1.0,89.0,48,"42.331261331813714, -71.04614760600882"
1092,100.0,100%,2,1.0,1.0,1.0,149.0,0,"42.33224602383325, -71.05213789204774"
1093,98.0,66%,22,5.0,1.0,1.0,130.0,0,"42.33675031106581, -71.04537214576868"
1094,100.0,100%,2,1.0,1.0,2.0,110.0,0,"42.35154570915516, -71.12558205269593"
1097,100.0,100%,2,1.5,1.0,1.0,65.0,1,"42.266532486158134, -71.10883174756934"
1098,100.0,92%,2,1.0,1.0,1.0,75.0,8,"42.26998701463762, -71.11649405738541"
1099,100.0,100%,1,1.0,1.0,2.0,45.0,47,"42.30760504367252, -71.07976943518204"
1100,79.0,100%,18,1.0,1.0,1.0,49.0,5,"42.3180341924828, -71.05451144897796"
1101,100.0,99%,2,1.0,1.0,1.0,80.0,95,"42.32594687498613, -71.05921760667077"
1102,100.0,83%,1,1.5,2.0,2.0,135.0,102,"42.32598026010625, -71.06134195630334"
1103,100.0,99%,2,1.0,1.0,2.0,88.0,14,"42.320759146753694, -71.06861133782047"
1104,100.0,100%,1,1.0,2.0,2.0,140.0,0,"42.34053064407585, -71.1522095208981"
1105,100.0,63%,9,1.5,1.0,1.0,58.0,3,"42.35602509198838, -71.13878860857865"
1106,100.0,96%,2,1.0,1.0,1.0,250.0,42,"42.34099873400789, -71.15994489630907"
1107,99.0,93%,24,1.0,1.0,1.0,68.0,10,"42.3590776927106, -71.14058989352861"
1108,100.0,33%,6,1.0,1.0,1.0,60.0,0,"42.35617773113255, -71.13870502243529"
1109,95.0,67%,3,1.0,1.0,1.0,52.0,6,"42.34379756233822, -71.15630479773085"
1110,100.0,91%,1,1.0,1.0,2.0,115.0,44,"42.34857517008484, -71.15871820909503"
1111,100.0,100%,1,1.0,1.0,2.0,65.0,42,"42.33588716697631, -71.14895443052323"
1112,100.0,100%,2,1.0,1.0,1.0,120.0,0,"42.353730114965074, -71.16107243312364"
1113,100.0,57%,1,1.5,1.0,1.0,80.0,19,"42.28719370532695, -71.1681597440516"
1114,100.0,95%,3,1.0,2.0,2.0,155.0,3,"42.272319782196924, -71.16249812931645"
1115,100.0,100%,2,1.0,2.0,2.0,125.0,22,"42.27782354851931, -71.16211725828838"
1116,100.0,95%,1,1.0,1.0,1.0,85.0,27,"42.246520316300725, -71.1162317738424"
1118,100.0,92%,1,1.0,0.0,2.0,55.0,4,"42.3284392686725, -71.0979069144364"
1119,88.0,76%,2,1.0,1.0,3.0,130.0,10,"42.33091894635664, -71.10873628820221"
1120,98.0,55%,749,2.0,2.0,2.0,319.0,0,"42.349733816781615, -71.0605232110554"
1121,98.0,55%,749,2.0,2.0,2.0,199.0,0,"42.351015523339036, -71.06290707291346"
1122,100.0,93%,2,1.5,1.0,5.0,350.0,2,"42.36543143382386, -71.05735140792984"
1123,100.0,100%,1,1.0,1.0,2.0,152.0,19,"42.36541467862179, -71.0561095778318"
1124,100.0,100%,1,1.0,1.0,1.0,72.0,17,"42.364847135865844, -71.05300913753506"
1125,100.0,99%,15,1.0,1.0,1.0,195.0,30,"42.36381524933132, -71.05277960301132"
1126,100.0,100%,3,1.5,1.0,1.0,35.0,2,"42.31626447242212, -71.09222251913793"
1127,100.0,100%,18,2.0,1.0,1.0,99.0,79,"42.32999835653803, -71.09480356376261"
1128,100.0,68%,3,1.0,0.0,2.0,170.0,13,"42.33031843619188, -71.09405535499072"
1129,98.0,68%,24,2.0,3.0,3.0,300.0,43,"42.33767173003159, -71.08033835068223"
1131,90.0,90%,2,1.0,1.0,2.0,280.0,31,"42.34506856744563, -71.08600744143052"
1132,100.0,91%,52,1.0,0.0,1.0,150.0,6,"42.35082185936092, -71.08203890985298"
1133,98.0,55%,749,1.0,1.0,1.0,219.0,1,"42.34640823784515, -71.079837710634"
1134,100.0,33%,4,1.0,1.0,2.0,289.0,1,"42.349540614666715, -71.07848716335708"
1135,100.0,100%,2,1.0,1.0,1.0,200.0,0,"42.352579737702044, -71.07879094316347"
1136,96.0,95%,4,1.0,0.0,1.0,139.0,67,"42.352273173397826, -71.08256662119477"
1137,100.0,74%,1,1.0,1.0,2.0,225.0,19,"42.35132218195608, -71.08259079219309"
1138,89.0,86%,1,1.0,1.0,1.0,115.0,22,"42.34964029915511, -71.08834175881046"
1139,100.0,100%,3,1.0,1.0,1.0,325.0,12,"42.350005827227385, -71.07757406865338"
1140,89.0,45%,558,1.0,2.0,2.0,389.0,9,"42.354496674330846, -71.07241061491042"
1141,100.0,81%,2,1.0,1.0,3.0,699.0,36,"42.34505121921718, -71.07988910638005"
1142,100.0,88%,2,1.0,2.0,3.0,135.0,19,"42.361064802195806, -71.06636743014488"
1143,94.0,84%,18,1.0,0.0,1.0,150.0,67,"42.3503315029418, -71.06500312079989"
1144,97.0,84%,11,2.0,2.0,3.0,235.0,34,"42.36019424688229, -71.05588182276712"
1145,100.0,92%,1,1.0,1.0,2.0,125.0,15,"42.35515467371552, -71.06143071858067"
1146,100.0,86%,1,1.0,1.0,1.0,225.0,28,"42.35485703741317, -71.06122845414615"
1148,90.0,71%,4,2.0,2.0,3.0,375.0,0,"42.34312477788598, -71.10143718886964"
1150,96.0,68%,313,2.0,2.0,3.0,279.0,10,"42.343265219561445, -71.10061666678733"
1151,96.0,68%,313,2.0,2.0,3.0,279.0,10,"42.3433955561153, -71.10105888205604"
1152,100.0,69%,122,2.0,2.0,2.0,315.0,0,"42.34325659424837, -71.08613203521625"
1153,100.0,83%,1,1.0,0.0,2.0,150.0,6,"42.34142533621303, -71.09861340686845"
1154,89.0,45%,558,1.0,1.0,1.0,249.0,2,"42.34394424882334, -71.09830935449918"
1155,89.0,45%,558,1.0,1.0,1.0,359.0,3,"42.344660025707384, -71.10043857054194"
1156,100.0,0%,1,1.0,1.0,1.0,115.0,6,"42.3429863477053, -71.07030039926936"
1158,100.0,98%,5,1.5,1.0,1.0,110.0,15,"42.33679501814413, -71.07648754166487"
1159,100.0,50%,1,1.0,1.0,1.0,100.0,3,"42.34560256185624, -71.07571070452711"
1160,100.0,100%,2,1.0,1.0,1.0,95.0,0,"42.34675815220524, -71.07416682165584"
1161,100.0,0%,3,1.5,1.0,1.0,119.0,6,"42.340368187394276, -71.08015135949631"
1163,100.0,91%,37,1.0,1.0,2.0,215.0,0,"42.34327954116151, -71.07987037936745"
1164,89.0,45%,558,1.0,1.0,1.0,251.0,21,"42.35397478093875, -71.07261173686383"
1165,70.0,93%,7,1.0,1.0,1.0,175.0,5,"42.3536143910126, -71.07957868007081"
1166,100.0,93%,1,1.0,0.0,1.0,175.0,18,"42.34747332897543, -71.07334293945296"
1167,100.0,100%,1,1.0,1.0,1.0,169.0,9,"42.347843690732404, -71.08560863024267"
1168,89.0,45%,558,1.5,2.0,2.0,299.0,3,"42.34652131433815, -71.07838416340084"
1169,100.0,100%,1,1.0,1.0,1.0,175.0,312,"42.3538695963596, -71.07972258052565"
1170,100.0,81%,2,1.0,1.0,2.0,199.0,24,"42.350557088473074, -71.08336259706302"
1171,99.0,81%,30,1.0,1.0,2.0,207.0,26,"42.34903397211097, -71.09096559226589"
1172,89.0,45%,558,1.0,1.0,1.0,289.0,0,"42.35198196833226, -71.05960861309755"
1173,71.0,98%,363,1.0,2.0,2.0,269.0,1,"42.35124444173521, -71.06197822096027"
1175,92.0,67%,2,1.0,1.0,1.0,95.0,2,"42.3484689315437, -71.06020839932364"
1179,100.0,99%,15,1.0,2.0,2.0,320.0,7,"42.36784682332886, -71.05300114479144"
1180,100.0,100%,1,1.0,1.0,2.0,150.0,5,"42.36102238918389, -71.05276752955334"
1181,81.0,67%,7,1.0,2.0,3.0,195.0,37,"42.366846007169244, -71.05118641450538"
1182,100.0,100%,1,1.0,1.0,1.0,131.0,5,"42.364735243335424, -71.05412820463829"
1183,67.0,0%,1,1.0,1.0,1.0,59.0,8,"42.32561121993109, -71.08131715784819"
1185,71.0,98%,363,1.0,2.0,2.0,209.0,0,"42.33648629517336, -71.08647876317265"
1186,100.0,100%,2,1.5,3.0,4.0,269.0,24,"42.325552759808225, -71.0870570540175"
1187,100.0,100%,7,2.0,3.0,3.0,650.0,1,"42.33836819509428, -71.08181550607551"
1188,71.0,98%,363,1.0,1.0,2.0,169.0,1,"42.34634241703738, -71.06385899400674"
1189,100.0,91%,52,1.0,1.0,1.0,155.0,2,"42.34467679767926, -71.07762314805531"
1190,100.0,86%,1,1.0,1.0,1.0,175.0,39,"42.33663177716327, -71.0748854317807"
1191,100.0,100%,1,1.0,2.0,2.0,275.0,7,"42.341369565015626, -71.07886725564435"
1192,60.0,96%,1,1.0,1.0,1.0,220.0,4,"42.35767006555429, -71.06902611451346"
1193,98.0,68%,24,1.0,1.0,1.0,229.0,9,"42.35755877830535, -71.07171963738033"
1194,94.0,84%,18,1.0,0.0,1.0,133.0,74,"42.35187963304116, -71.06418052773833"
1196,100.0,99%,4,1.0,1.0,2.0,265.0,101,"42.355424236987396, -71.05775942284679"
1199,100.0,100%,6,1.0,1.0,1.0,300.0,1,"42.34737368918427, -71.08906278810225"
1200,100.0,94%,11,1.0,0.0,1.0,189.0,65,"42.34405744614325, -71.09806546039562"
1201,100.0,100%,1,1.0,1.0,1.0,80.0,0,"42.34978248340333, -71.09596831896908"
1202,98.0,55%,749,2.0,2.0,2.0,319.0,0,"42.34340237726134, -71.09945478281418"
1203,96.0,68%,313,2.0,2.0,2.0,603.0,3,"42.343542625972766, -71.09848601615046"
1204,96.0,68%,313,1.0,1.0,2.0,219.0,2,"42.3453775478465, -71.10001766211451"
1205,98.0,55%,749,1.0,1.0,1.0,249.0,0,"42.343495695672885, -71.09744934494148"
1206,40.0,100%,1,1.0,1.0,1.0,100.0,0,"42.34585356167857, -71.10363227282186"
1207,96.0,68%,313,2.0,2.0,2.0,279.0,3,"42.34406564770265, -71.10174320278965"
1208,100.0,100%,1,1.0,2.0,2.0,300.0,33,"42.350090918598504, -71.08179656255358"
1209,100.0,96%,1,1.0,1.0,1.0,80.0,89,"42.37208004957014, -71.03198308642574"
1210,100.0,100%,1,1.0,1.0,1.0,77.0,21,"42.36740937325516, -71.0368160823019"
1211,100.0,100%,4,1.0,1.0,1.0,70.0,5,"42.37484037463057, -71.03204553980208"
1212,92.0,100%,8,1.0,2.0,4.0,275.0,29,"42.38154190555381, -71.03806231898041"
1214,100.0,94%,11,1.0,1.0,2.0,135.0,7,"42.363926094037296, -71.03033901049847"
1215,100.0,100%,2,1.5,1.0,1.0,160.0,0,"42.383704883765326, -71.06564446942193"
1217,100.0,100%,1,1.0,2.0,4.0,299.0,27,"42.378248273910536, -71.0619881353503"
1218,98.0,55%,749,2.0,2.0,2.0,199.0,0,"42.364668042853936, -71.06942445347283"
1219,89.0,45%,558,1.0,1.0,1.0,249.0,4,"42.3649449797097, -71.06766819894484"
1220,100.0,100%,3,1.0,1.0,1.0,180.0,0,"42.35685565099392, -71.07025135971973"
1221,99.0,81%,30,1.0,2.0,3.0,250.0,10,"42.3605386597071, -71.07062362225503"
1222,100.0,100%,1,1.0,1.0,1.0,245.0,60,"42.35669270143099, -71.07297137662971"
1223,100.0,96%,4,1.0,1.0,1.0,130.0,77,"42.31490878862502, -71.0621883389839"
1224,90.0,92%,2,1.0,1.0,5.0,179.0,1,"42.35235791846434, -71.0445659622485"
1225,50.0,75%,1,1.0,1.0,1.0,180.0,17,"42.34360257219158, -71.04289056156057"
1226,100.0,65%,16,1.0,1.0,1.0,249.0,0,"42.34738281537997, -71.03855591875042"
1227,100.0,100%,6,1.0,1.0,1.0,118.0,29,"42.32906352830442, -71.05335996397733"
1228,100.0,100%,1,1.0,1.0,1.0,110.0,47,"42.34039504377331, -71.05373508935921"
1229,100.0,99%,15,1.0,2.0,2.0,245.0,47,"42.3358565593375, -71.04589502553836"
1230,73.0,50%,1,1.0,1.0,1.0,98.0,1,"42.33533781316974, -71.05445976710305"
1231,100.0,100%,2,2.0,5.0,8.0,299.0,4,"42.33962035784557, -71.05130743997775"
1232,85.0,100%,1,1.0,1.0,1.0,103.0,5,"42.34802552722877, -71.13730591137173"
1233,99.0,93%,24,1.0,1.0,1.0,85.0,2,"42.36077501013337, -71.12743714328603"
1234,100.0,42%,4,1.0,2.0,4.0,250.0,0,"42.35335918308216, -71.13034354292151"
1237,100.0,100%,1,1.0,0.0,1.0,79.0,0,"42.351036270051544, -71.12801698606268"
1238,100.0,67%,2,1.0,1.0,1.0,85.0,2,"42.34737835201244, -71.13722682457093"
1239,100.0,63%,9,1.5,1.0,1.0,20.0,1,"42.35614366171549, -71.13712072817228"
1240,71.0,98%,363,1.0,2.0,2.0,139.0,0,"42.34919131537339, -71.1294456634807"
1241,100.0,100%,1,1.0,1.0,1.0,75.0,30,"42.34482860169046, -71.13673350316112"
1242,100.0,100%,1,1.0,1.0,1.0,90.0,2,"42.34957660664694, -71.16087132628869"
1243,100.0,95%,3,1.0,2.0,2.0,150.0,14,"42.33717041572977, -71.14965431332847"
1244,100.0,100%,1,1.0,2.0,2.0,147.0,132,"42.345668308002836, -71.13921858090492"
1245,100.0,25%,1,1.0,1.0,1.0,99.0,16,"42.348511782044305, -71.1679681298996"
1247,100.0,100%,2,1.0,1.0,2.0,115.0,10,"42.270901149784166, -71.07875030650054"
1248,100.0,100%,11,2.5,1.0,2.0,65.0,291,"42.299773412938755, -71.0604758082839"
1249,100.0,100%,4,0.0,1.0,1.0,60.0,0,"42.31894148449926, -71.05839893293921"
1250,100.0,100%,0,1.0,1.0,1.0,55.0,0,"42.29767879153994, -71.08078194423857"
1251,90.0,100%,1,1.0,1.0,2.0,85.0,2,"42.28622920482873, -71.05682397063839"
1252,100.0,100%,3,1.0,1.0,1.0,45.0,25,"42.32396245649497, -71.05851324812433"
1253,100.0,0%,1,1.0,1.0,1.0,44.0,1,"42.300755134493855, -71.0640886271004"
1254,100.0,100%,1,1.0,2.0,2.0,189.0,1,"42.27963071423372, -71.0695712776291"
1255,100.0,96%,5,2.0,3.0,4.0,175.0,21,"42.2888581543752, -71.06566793045677"
1256,100.0,91%,2,2.0,2.0,2.0,200.0,8,"42.31910921159898, -71.06168323155403"
1257,100.0,94%,22,1.0,1.0,1.0,31.0,3,"42.282725132135205, -71.07511891577971"
1258,90.0,80%,3,1.0,1.0,1.0,100.0,2,"42.31588827357241, -71.07199504196936"
1260,100.0,100%,1,1.0,2.0,2.0,200.0,2,"42.27696861949929, -71.11775586431585"
1261,100.0,100%,1,2.0,3.0,3.0,250.0,6,"42.311852721337, -71.10926318625519"
1262,100.0,100%,3,1.0,1.0,2.0,130.0,66,"42.32309568739635, -71.10851426561025"
1263,90.0,100%,2,1.5,4.0,4.0,300.0,2,"42.32085835010096, -71.11249877013331"
1264,100.0,100%,1,1.0,1.0,1.0,100.0,1,"42.31218842736296, -71.10566184357903"
1265,100.0,100%,1,1.0,1.0,1.0,90.0,12,"42.29098869791823, -71.11273710117392"
1266,100.0,100%,3,1.0,1.0,2.0,77.0,3,"42.310893576384466, -71.12243916028487"
1267,100.0,100%,5,1.0,1.0,2.0,93.0,97,"42.30776797241471, -71.11625789047194"
1268,50.0,100%,1,1.0,1.0,1.0,872.0,0,"42.33242122223453, -71.10732196401753"
1269,89.0,45%,558,1.0,2.0,2.0,269.0,2,"42.33467769835338, -71.10251313770223"
1270,100.0,91%,1,1.0,1.0,2.0,70.0,7,"42.32816472463539, -71.1056950585758"
1271,100.0,50%,1,1.0,1.0,1.0,113.0,0,"42.359452846935326, -71.11368818159649"
1273,100.0,89%,1,1.0,2.0,2.0,225.0,11,"42.34922068461341, -71.06691407927605"
1274,100.0,100%,1,1.0,0.0,1.0,210.0,1,"42.368682503928206, -71.05430825519376"
1275,100.0,100%,13,1.0,1.0,1.0,125.0,281,"42.36758116315518, -71.05611277750177"
1277,94.0,83%,1,1.0,0.0,1.0,200.0,0,"42.36641028090565, -71.05534201668304"
1278,100.0,100%,1,1.0,1.0,1.0,140.0,8,"42.36652442067575, -71.05213169295045"
1279,100.0,100%,18,2.0,1.0,2.0,99.0,81,"42.33018209890577, -71.09337406427696"
1280,80.0,86%,1,1.0,2.0,2.0,150.0,44,"42.32333473090794, -71.09584193543922"
1281,100.0,90%,7,1.5,3.0,3.0,250.0,23,"42.32404973323278, -71.09068730206711"
1282,100.0,50%,1,1.0,1.0,1.0,295.0,9,"42.339965166819994, -71.07514202221779"
1283,98.0,68%,24,1.5,2.0,2.0,250.0,42,"42.337263656169746, -71.07632731501351"
1284,100.0,56%,1,1.0,1.0,1.0,150.0,19,"42.34122030074207, -71.07532969141522"
1285,71.0,98%,363,2.0,2.0,2.0,329.0,29,"42.34485682989903, -71.06210730087227"
1286,91.0,94%,11,1.0,0.0,1.0,219.0,22,"42.34341555548842, -71.07951597072666"
1287,98.0,68%,24,1.0,0.0,1.0,138.0,12,"42.342220181831536, -71.08026312638312"
1288,71.0,98%,363,1.0,1.0,2.0,199.0,14,"42.34632376109648, -71.06301626598292"
1289,100.0,100%,6,1.0,1.0,1.0,160.0,15,"42.34419543393126, -71.07363010738126"
1290,100.0,94%,4,1.0,1.0,1.0,99.0,20,"42.34191419487412, -71.08080630405638"
